Year,순위,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
2001,1,롯데,0.280,133,5308,4521,718,1265,247,24,121,1923,671,82,60
2001,2,KIA,0.278,133,5189,4542,683,1263,221,17,142,1944,637,51,43
2001,3,삼성,0.277,133,5280,4553,739,1262,244,21,162,2034,695,69,42
2001,4,두산,0.276,133,5303,4583,732,1266,221,26,130,1929,688,54,46
2001,5,LG,0.276,133,5319,4521,669,1247,219,24,85,1769,630,114,41
2001,6,한화,0.275,133,5259,4556,659,1255,211,15,148,1940,628,75,34
2001,7,현대,0.268,133,5225,4445,711,1192,166,20,169,1905,667,77,29
2001,8,SK,0.260,133,5077,4400,596,1143,215,11,113,1719,555,122,26
2002,1,삼성,0.284,133,5304,4648,777,1321,266,16,191,2192,731,55,34
2002,2,SK,0.270,133,5090,4475,618,1207,204,27,158,1939,587,96,34
2002,3,KIA,0.269,133,5200,4575,643,1230,220,14,120,1838,611,45,35
2002,4,LG,0.261,133,5121,4492,583,1173,212,22,100,1729,541,93,37
2002,5,현대,0.261,133,5140,4444,658,1160,191,25,173,1920,643,99,34
2002,6,두산,0.261,133,5083,4498,587,1173,174,21,130,1779,556,47,46
2002,7,한화,0.256,133,5062,4491,603,1148,206,10,170,1884,570,52,22
2002,8,롯데,0.245,133,4986,4512,463,1105,206,19,85,1604,443,49,22
2003,1,현대,0.286,133,5313,4483,723,1280,208,15,175,2043,673,139,38
2003,2,삼성,0.284,133,5241,4564,769,1295,236,14,213,2198,744,73,38
2003,3,두산,0.276,133,5165,4536,563,1251,205,21,90,1768,541,63,52
2003,4,KIA,0.272,133,5127,4448,657,1211,219,16,129,1849,626,94,37
2003,5,SK,0.272,133,5157,4445,644,1208,209,16,156,1917,612,127,32
2003,6,롯데,0.256,133,4987,4465,491,1143,232,18,73,1630,451,83,28
2003,7,한화,0.254,133,5198,4458,577,1131,218,20,121,1752,521,102,21
2003,8,LG,0.249,133,4964,4375,509,1088,188,29,106,1652,485,74,40
2004,1,현대,0.275,133,5322,4480,692,1233,190,13,134,1851,653,111,38
2004,2,SK,0.272,133,5254,4499,655,1223,196,9,138,1851,626,105,35
2004,3,삼성,0.269,133,5170,4509,641,1215,225,9,132,1854,600,84,31
2004,4,한화,0.268,133,5150,4519,632,1213,245,17,140,1912,605,88,33
2004,5,두산,0.268,133,5109,4485,606,1200,202,19,89,1707,573,55,40
2004,6,KIA,0.267,133,5190,4426,643,1182,224,9,143,1853,610,82,54
