Year,순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
2001,1,두산,133,65,63,5,0.508,0,2승0무8패,3패,33-4-29,32-1-34
2001,2,삼성,133,81,52,0,0.609,-13.5,4승0무6패,1승,42-0-24,39-0-28
2001,3,현대,133,72,57,4,0.558,-6.5,3승0무7패,1승,39-1-27,33-3-30
2001,4,한화,133,61,68,4,0.473,4.5,7승0무3패,2패,27-3-36,34-1-32
2001,5,KIA,133,60,68,5,0.469,5,6승0무4패,1승,28-3-36,32-2-32
2001,6,LG,133,58,67,8,0.464,5.5,7승0무3패,3승,33-1-33,25-7-34
2001,7,SK,133,60,71,2,0.458,6.5,7승0무3패,1패,32-1-34,28-1-37
2001,8,롯데,133,59,70,4,0.457,6.5,5승0무5패,2패,26-3-37,33-1-33
2002,1,삼성,133,82,47,4,0.636,0,6승0무4패,2승,40-2-25,42-2-22
2002,2,LG,133,66,61,6,0.520,15,5승0무5패,1승,32-4-30,34-2-31
2002,3,KIA,133,78,51,4,0.605,4,4승0무6패,2패,38-4-24,40-0-27
2002,4,현대,133,70,58,5,0.547,11.5,6승0무4패,1패,36-2-28,34-3-30
2002,5,두산,133,66,65,2,0.504,17,4승0무6패,2패,32-0-35,34-2-30
2002,6,SK,133,61,69,3,0.469,21.5,5승0무5패,3승,31-2-33,30-1-36
2002,7,한화,133,59,69,5,0.461,22.5,3승0무7패,1승,31-1-35,28-4-34
2002,8,롯데,133,35,97,1,0.265,48.5,5승0무5패,1패,18-0-49,17-1-48
2003,1,현대,133,80,51,2,0.611,0,7승0무3패,1승,40-1-26,40-1-25
2003,2,SK,133,66,64,3,0.508,13.5,5승0무5패,1승,35-2-30,31-1-34
2003,3,KIA,133,78,50,5,0.609,0.5,6승1무3패,1패,44-1-22,34-4-28
2003,4,삼성,133,76,53,4,0.589,3,3승1무6패,3패,42-1-23,34-3-30
2003,5,한화,133,63,65,5,0.492,15.5,6승0무4패,3패,36-3-27,27-2-38
2003,6,LG,133,60,71,2,0.458,20,3승0무7패,2승,34-1-32,26-1-39
2003,7,두산,133,57,74,2,0.435,23,5승0무5패,1승,25-2-39,32-0-35
2003,8,롯데,133,39,91,3,0.300,40.5,3승0무7패,2승,20-2-44,19-1-47
2004,1,현대,133,75,53,5,0.586,0,7승0무3패,3승,40-4-22,35-1-31
2004,2,삼성,133,73,52,8,0.584,0.5,6승1무3패,1패,36-3-28,37-5-24
2004,3,두산,133,70,62,1,0.530,7,6승0무4패,1승,40-0-27,30-1-35
2004,4,KIA,133,67,61,5,0.523,8,4승1무5패,3패,34-2-30,33-3-31
2004,5,SK,133,61,64,8,0.488,12.5,2승0무8패,1패,32-5-29,29-3-35
2004,6,LG,133,59,70,4,0.457,16.5,4승0무6패,2패,33-4-29,26-0-41
2004,7,한화,133,53,74,6,0.417,21.5,5승0무5패,1승,27-3-37,26-3-37
2004,8,롯데,133,50,72,11,0.410,22,5승0무5패,3승,24-3-40,26-8-32
2005,1,삼성,126,74,48,4,0.607,0,5승0무5패,1승,36-3-24,38-1-24
2005,2,두산,126,72,51,3,0.585,2.5,9승0무1패,6승,41-0-22,31-3-29
2005,3,SK,126,70,50,6,0.583,3,6승0무4패,1패,35-4-24,35-2-26
2005,4,한화,126,64,61,1,0.512,11.5,3승0무7패,2패,35-1-27,29-0-34
2005,5,롯데,126,58,67,1,0.464,17.5,5승0무5패,1승,29-0-34,29-1-33
2005,6,LG,126,54,71,1,0.432,21.5,5승0무5패,1승,33-0-30,21-1-41
2005,7,현대,126,53,70,3,0.431,21.5,6승0무4패,2패,26-2-35,27-1-35
2005,8,KIA,126,49,76,1,0.392,26.5,4승0무6패,1패,28-0-35,21-1-41
2006,1,삼성,126,73,50,3,0.593,0,6승0무4패,2승,39-1-23,34-2-27
2006,2,한화,126,67,57,2,0.540,6.5,7승0무3패,2승,33-2-28,34-0-29
2006,3,현대,126,70,55,1,0.560,4,5승0무5패,2패,35-1-27,35-0-28
2006,4,KIA,126,64,59,3,0.520,9,6승0무4패,2승,33-2-28,31-1-31
2006,5,두산,126,63,60,3,0.512,10,7승0무3패,1승,34-1-28,29-2-32
2006,6,SK,126,60,65,1,0.480,14,5승0무5패,1승,33-1-29,27-0-36
2006,7,롯데,126,50,73,3,0.407,23,2승0무8패,4패,34-2-27,16-1-46
2006,8,LG,126,47,75,4,0.385,25.5,2승0무8패,8패,30-0-33,17-4-42
2007,1,SK,126,73,48,5,0.603,0,6승0무4패,1승,39-3-21,34-2-27
2007,2,두산,126,70,54,2,0.565,4.5,8승0무2패,1패,38-1-24,32-1-30
2007,3,한화,126,67,57,2,0.540,7.5,6승0무4패,1승,34-1-28,33-1-29
2007,4,삼성,126,62,60,4,0.508,11.5,3승0무7패,2패,35-1-27,27-3-33
2007,5,LG,126,58,62,6,0.483,14.5,4승0무6패,1패,29-5-29,29-1-33
2007,6,현대,126,56,69,1,0.448,19,5승0무5패,2승,29-0-34,27-1-35
2007,7,롯데,126,55,68,3,0.447,19,4승0무6패,2승,30-1-32,25-2-36
2007,8,KIA,126,51,74,1,0.408,24,4승0무6패,1패,27-0-36,24-1-38
2008,1,SK,126,83,43,0,0.659,0,5승0무5패,2패,43-0-20,40-0-23
2008,2,두산,126,70,56,0,0.556,13,3승0무7패,2패,35-0-28,35-0-28
2008,3,롯데,126,69,57,0,0.548,14,4승0무6패,1패,32-0-31,37-0-26
2008,4,삼성,126,65,61,0,0.516,18,5승0무5패,1승,33-0-30,32-0-31
2008,5,한화,126,64,62,0,0.508,19,6승0무4패,2승,35-0-28,29-0-34
2008,6,KIA,126,57,69,0,0.452,26,5승0무5패,1승,30-0-33,27-0-36
2008,7,우리,126,50,76,0,0.397,33,6승0무4패,1승,26-0-37,24-0-39
2008,8,LG,126,46,80,0,0.365,37,4승0무6패,1승,24-0-39,22-0-41
2009,1,KIA,133,81,48,4,0.609,0,8승0무2패,7승,37-4-25,44-0-23
2009,2,SK,133,80,47,6,0.602,0,9승1무0패,19승,40-2-25,40-4-22
2009,3,두산,133,71,60,2,0.534,11,4승0무6패,2패,34-1-32,37-1-28
2009,4,롯데,133,66,67,0,0.496,17,6승0무4패,2패,34-0-33,32-0-34
2009,5,삼성,133,64,69,0,0.481,19,3승0무7패,4패,37-0-30,27-0-39
2009,6,히어로즈,133,60,72,1,0.451,22.5,2승0무8패,3패,31-0-35,29-1-37
2009,7,LG,133,54,75,4,0.406,27,3승1무6패,2승,29-2-35,25-2-40
2009,8,한화,133,46,84,3,0.346,35.5,5승0무5패,2승,23-1-42,23-2-42
2010,1,SK,133,84,47,2,0.632,0,6승1무3패,1승,40-0-26,44-2-21
2010,2,삼성,133,79,52,2,0.594,5,4승1무5패,1승,37-0-29,42-2-23
2010,3,두산,133,73,57,3,0.549,10.5,5승0무5패,1패,37-2-27,36-1-30
2010,4,롯데,133,69,61,3,0.519,14.5,8승0무2패,4승,33-1-32,36-2-29
2010,5,KIA,133,59,74,0,0.444,26,5승0무5패,3패,30-0-37,29-0-37
2010,6,LG,133,57,71,5,0.429,25.5,3승2무5패,1패,31-3-33,26-2-38
2010,7,넥센,133,52,78,3,0.391,31.5,2승0무8패,2패,23-3-41,29-0-37
2010,8,한화,133,49,82,2,0.368,35,5승1무4패,2승,27-1-39,22-1-43
2011,1,삼성,133,79,50,4,0.612,0,5승2무3패,1승,41-1-25,38-3-25
2011,2,SK,133,71,59,3,0.546,8.5,5승1무4패,2승,34-2-31,37-1-28
2011,3,롯데,133,72,56,5,0.563,6.5,8승0무2패,4승,40-3-24,32-2-32
2011,4,KIA,133,70,63,0,0.526,11,5승0무5패,2패,36-0-30,34-0-33
2011,5,두산,133,61,70,2,0.466,19,6승0무4패,5승,30-0-37,31-2-33
2011,6,LG,133,59,72,2,0.450,21,2승1무7패,1패,29-1-36,30-1-36
2011,6,한화,133,59,72,2,0.450,21,4승0무6패,3패,31-2-33,28-0-39
2011,8,넥센,133,51,80,2,0.389,29,3승0무7패,4패,34-1-31,17-1-49
2012,1,삼성,133,80,51,2,0.611,0,8승0무2패,1승,39-1-26,41-1-25
2012,2,SK,133,71,59,3,0.546,8.5,5승0무5패,1승,38-2-26,33-1-33
2012,3,두산,133,68,62,3,0.523,11.5,5승0무5패,1패,32-0-34,36-3-28
2012,4,롯데,133,65,62,6,0.512,13,3승0무7패,1패,35-4-27,30-2-35
2012,5,KIA,133,62,65,6,0.488,16,7승0무3패,1패,32-5-30,30-1-35
2012,6,넥센,133,61,69,3,0.469,18.5,3승1무6패,2패,34-1-32,27-2-37
2012,7,LG,133,57,72,4,0.442,22,5승0무5패,2승,25-1-41,32-3-31
2012,8,한화,133,53,77,3,0.408,26.5,2승1무7패,1패,27-1-39,26-2-38
2013,1,삼성,128,75,51,2,0.595,0,6승0무4패,1패,37-0-27,38-2-24
2013,2,두산,128,71,54,3,0.568,3.5,6승0무4패,1패,37-1-26,34-2-28
2013,3,LG,128,74,54,0,0.578,2,4승0무6패,2승,37-0-27,37-0-27
2013,4,넥센,128,72,54,2,0.571,3,5승0무5패,1패,36-2-26,36-0-28
2013,5,롯데,128,66,58,4,0.532,8,8승0무2패,2승,33-3-28,33-1-30
2013,6,SK,128,62,63,3,0.496,12.5,3승1무6패,2패,31-2-31,31-1-32
2013,7,NC,128,52,72,4,0.419,22,4승0무6패,1승,28-2-34,24-2-38
2013,8,KIA,128,51,74,3,0.408,23.5,3승1무6패,3패,22-1-41,29-2-33
2013,9,한화,128,42,85,1,0.331,33.5,4승0무6패,1승,21-0-43,21-1-42
2014,1,삼성,128,78,47,3,0.624,0,3승0무7패,1패,40-2-22,38-1-25
2014,2,넥센,128,78,48,2,0.619,0.5,7승1무2패,6승,42-1-21,36-1-27
2014,3,NC,128,70,57,1,0.551,9,6승0무4패,1패,38-0-26,32-1-31
